,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.785234899328859,0.7763157894736842,0.7972972972972973,0.7866666666666666,0.8424324324324324
Dense NN (TF-IDF),0.7583892617449665,0.7159090909090909,0.8513513513513513,0.7777777777777778,0.8386486486486487
Linear SVM,0.7651006711409396,0.7532467532467533,0.7837837837837838,0.7682119205298014,0.8384684684684685
Naive Bayes,0.7449664429530202,0.7142857142857143,0.8108108108108109,0.759493670886076,0.81990990990991
Embedding NN (Sequence),0.7516778523489933,0.7681159420289855,0.7162162162162162,0.7412587412587412,0.8527027027027028
